season,team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city
2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Yuvraj Singh,Rajiv Gandhi International Stadium, Uppal,Hyderabad
2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,SPD Smith,Maharashtra Cricket Association Stadium,Pune
2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,CA Lynn,Saurashtra Cricket Association Stadium,Rajkot
2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,GJ Maxwell,Holkar Cricket Stadium,Indore
2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,KM Jadhav,M Chinnaswamy Stadium,Bangalore
